State,Account_length,Area_code,International_plan,Voice_mail_plan,Num_vmail_messages,Total_day_minutes,Total_day_calls,Total_eve_minutes,Total_eve_calls,Total_night_minutes,Total_night_calls,Total_intl_minutes,Total_intl_calls,Customer_service_calls,Total_day_charge,Total_eve_charge,Total_night_charge,Total_intl_charge,Churn
KY,21,408,no,no,14,119.7,98,237.9,163,87.0,5,11.6,6,7,20.35,20.22,3.92,3.13,0
TX,51,415,no,no,9,229.9,163,289.4,51,232.3,11,11.7,18,4,39.08,24.6,10.45,3.16,1
KY,38,510,no,no,8,164.1,34,323.7,21,224.9,28,6.2,0,2,27.9,27.51,10.12,1.67,0
TX,20,408,no,yes,43,190.8,110,127.5,165,241.7,76,14.6,14,8,32.44,10.84,10.88,3.94,0
IN,157,510,no,no,38,160.6,67,179.0,98,200.7,123,6.7,13,6,27.3,15.22,9.03,1.81,0
KY,179,510,no,yes,4,217.7,116,148.4,130,104.4,25,5.6,12,7,37.01,12.61,4.7,1.51,1
FL,132,408,no,no,24,170.6,125,242.3,87,175.3,67,2.1,6,2,29.0,20.6,7.89,0.57,0
CA,55,510,no,no,41,296.5,5,203.0,135,150.3,15,11.9,11,5,50.4,17.26,6.76,3.21,1
OH,199,510,no,no,25,256.6,118,243.9,117,144.2,52,13.9,7,3,43.62,20.73,6.49,3.75,0
TX,92,408,no,no,7,109.6,155,180.2,38,242.3,146,8.3,14,2,18.63,15.32,10.9,2.24,0
FL,28,510,no,no,21,190.3,29,235.0,17,190.8,174,5.2,16,3,32.35,19.98,8.59,1.4,0
OH,4,415,no,no,51,219.7,154,191.1,104,221.3,159,12.4,11,1,37.35,16.24,9.96,3.35,0
OH,150,510,no,yes,24,155.3,68,207.1,130,257.0,69,6.5,12,4,26.4,17.6,11.56,1.76,1
KY,76,415,no,no,47,245.5,107,171.2,145,106.8,4,11.7,7,7,41.74,14.55,4.81,3.16,1
OH,173,510,yes,yes,11,239.1,34,268.0,79,286.6,129,7.5,9,4,40.65,22.78,12.9,2.03,0
CA,67,408,no,no,8,175.5,102,136.9,116,296.5,129,8.8,6,1,29.84,11.64,13.34,2.38,0
FL,86,408,no,yes,9,233.0,43,194.3,0,104.1,2,10.9,1,6,39.61,16.52,4.68,2.94,0
OH,236,510,no,no,47,49.8,142,289.0,116,237.4,94,10.9,15,7,8.47,24.56,10.68,2.94,0
KY,194,408,no,no,9,253.3,159,263.8,127,307.4,42,10.3,3,3,43.06,22.42,13.83,2.78,0
CA,216,510,no,yes,8,227.9,28,157.8,25,124.6,132,14.0,5,2,38.74,13.41,5.61,3.78,0
IN,162,408,no,no,25,121.3,5,160.4,11,136.7,9,14.6,6,7,20.62,13.63,6.15,3.94,1
FL,91,415,no,yes,34,193.6,26,225.7,37,243.9,154,14.8,18,1,32.91,19.18,10.98,4.0,0
OH,183,510,no,no,26,70.6,27,232.5,84,224.8,23,9.5,3,6,12.0,19.76,10.12,2.57,0
KY,105,415,no,yes,30,138.8,132,259.5,168,211.8,21,10.3,9,7,23.6,22.06,9.53,2.78,0
IN,1,415,no,no,18,239.2,55,129.5,52,186.5,88,13.7,3,4,40.66,11.01,8.39,3.7,0
IN,72,510,no,no,42,179.3,111,265.8,12,208.4,2,8.2,19,6,30.48,22.59,9.38,2.21,1
TX,87,415,no,no,37,176.3,53,154.9,127,64.2,143,8.8,4,8,29.97,13.17,2.89,2.38,0
CA,166,510,no,yes,5,182.4,79,266.7,75,135.2,157,10.1,13,7,31.01,22.67,6.08,2.73,0
OH,6,415,no,no,14,176.1,104,119.2,12,194.0,111,9.9,10,4,29.94,10.13,8.73,2.67,0
KY,214,510,no,no,28,233.3,17,144.3,145,86.0,170,9.2,1,3,39.66,12.27,3.87,2.48,0
TX,153,510,no,no,46,146.6,42,286.1,146,192.4,3,7.5,8,2,24.92,24.32,8.66,2.03,0
CA,210,408,no,no,44,202.6,88,288.8,146,199.1,106,12.3,11,5,34.44,24.55,8.96,3.32,0
TX,145,510,no,no,4,118.2,73,205.0,47,160.2,39,9.0,0,3,20.09,17.42,7.21,2.43,0
FL,61,510,no,yes,13,220.0,156,183.5,70,163.4,15,10.4,14,3,37.4,15.6,7.35,2.81,0
CA,12,415,no,no,1,162.6,9,199.2,155,143.5,104,10.0,5,6,27.64,16.93,6.46,2.7,1
CA,6,510,no,yes,22,177.8,133,220.7,91,173.9,71,11.8,16,4,30.23,18.76,7.83,3.19,1
OH,218,408,yes,yes,43,160.4,88,225.2,146,219.4,87,11.2,14,0,27.27,19.14,9.87,3.02,0
CA,27,415,no,yes,51,167.3,131,185.3,85,223.2,15,9.3,13,4,28.44,15.75,10.04,2.51,0
TX,136,415,no,no,45,125.7,33,103.2,82,255.3,117,8.9,18,5,21.37,8.77,11.49,2.4,1
CA,211,408,no,no,18,197.8,82,172.8,47,191.5,90,9.7,8,0,33.63,14.69,8.62,2.62,1
OH,124,415,no,no,23,210.0,160,122.2,28,224.7,19,7.0,2,2,35.7,10.39,10.11,1.89,0
OH,106,415,yes,yes,19,108.1,131,238.3,18,121.6,83,7.8,14,5,18.38,20.26,5.47,2.11,0
FL,193,415,no,no,46,147.8,97,218.4,98,211.2,82,11.4,16,6,25.13,18.56,9.5,3.08,1
TX,185,415,no,no,26,181.6,30,194.4,46,188.0,125,10.8,1,6,30.87,16.52,8.46,2.92,1
IN,93,408,no,no,51,147.7,79,187.5,88,227.0,50,7.4,3,6,25.11,15.94,10.22,2.0,1
IN,109,408,no,yes,23,168.0,59,298.3,59,184.8,17,9.7,13,8,28.56,25.36,8.32,2.62,0
CA,241,415,yes,yes,16,267.3,1,257.3,147,179.7,80,5.8,10,1,45.44,21.87,8.09,1.57,0
FL,99,415,yes,yes,24,125.0,35,210.3,146,155.5,96,10.4,11,2,21.25,17.88,7.0,2.81,0
KY,168,408,no,no,45,55.1,124,173.1,41,254.4,116,9.1,15,6,9.37,14.71,11.45,2.46,1
CA,142,408,no,no,30,147.7,150,264.5,76,166.9,123,15.7,11,5,25.11,22.48,7.51,4.24,1
FL,35,408,no,yes,27,162.3,102,205.5,75,300.7,27,11.6,1,0,27.59,17.47,13.53,3.13,0
TX,176,415,no,yes,49,153.5,115,167.6,142,129.2,155,7.4,6,6,26.1,14.25,5.81,2.0,0
TX,237,415,no,no,27,194.5,100,170.5,67,263.2,88,7.4,2,1,33.07,14.49,11.84,2.0,0
TX,84,510,no,no,21,124.5,45,233.1,78,82.5,140,11.7,2,3,21.17,19.81,3.71,3.16,0
TX,56,408,no,no,4,116.5,79,247.6,154,190.9,5,12.4,12,6,19.8,21.05,8.59,3.35,0
TX,177,415,no,no,43,143.6,106,231.8,74,168.3,156,15.0,6,3,24.41,19.7,7.57,4.05,0
FL,141,408,no,no,41,144.7,43,232.9,86,223.7,105,13.1,4,5,24.6,19.8,10.07,3.54,0
FL,189,415,no,yes,7,294.5,146,184.8,14,244.1,118,11.3,4,8,50.07,15.71,10.98,3.05,1
OH,230,408,no,no,37,263.8,48,172.8,158,304.4,136,13.8,19,4,44.85,14.69,13.7,3.73,1
IN,49,415,no,no,27,89.8,87,207.4,89,171.3,28,10.2,5,2,15.27,17.63,7.71,2.75,0
TX,46,510,no,no,46,75.8,57,195.9,6,160.2,165,10.1,12,5,12.89,16.65,7.21,2.73,1
KY,113,510,no,yes,11,175.4,90,150.0,12,247.6,64,6.7,6,3,29.82,12.75,11.14,1.81,1
FL,190,408,yes,no,24,283.2,134,198.4,12,192.7,55,14.1,1,8,48.14,16.86,8.67,3.81,1
KY,136,415,no,no,37,216.0,93,234.5,147,165.7,29,10.4,8,1,36.72,19.93,7.46,2.81,0
KY,43,415,no,no,43,178.2,77,180.5,9,175.9,113,9.7,18,4,30.29,15.34,7.92,2.62,0
KY,148,408,no,yes,14,155.4,121,279.4,123,161.6,95,7.9,1,8,26.42,23.75,7.27,2.13,0
OH,124,415,no,no,43,238.2,142,137.4,164,109.9,120,13.3,12,6,40.49,11.68,4.95,3.59,0
FL,97,408,yes,no,40,189.6,75,158.8,125,284.4,57,12.7,7,4,32.23,13.5,12.8,3.43,0
KY,90,415,no,no,50,273.5,52,171.4,26,226.4,137,7.6,15,7,46.5,14.57,10.19,2.05,0
TX,39,408,yes,no,33,88.9,22,241.1,161,113.0,148,11.4,0,1,15.11,20.49,5.08,3.08,0
CA,85,415,no,no,44,202.9,76,210.6,99,281.0,25,12.1,10,3,34.49,17.9,12.64,3.27,0
KY,177,408,no,no,12,149.6,72,155.7,15,209.6,14,6.6,7,5,25.43,13.23,9.43,1.78,1
OH,192,415,no,no,7,202.4,87,106.4,58,188.6,162,11.7,19,6,34.41,9.04,8.49,3.16,0
FL,62,510,no,no,12,193.5,102,140.7,20,228.6,88,11.2,0,7,32.9,11.96,10.29,3.02,1
OH,106,415,no,no,35,207.5,93,112.3,15,176.5,14,11.7,6,3,35.28,9.55,7.94,3.16,0
KY,107,408,no,no,5,232.8,59,243.7,12,129.0,96,15.4,8,8,39.58,20.71,5.8,4.16,1
FL,54,510,no,no,37,255.0,9,147.0,32,170.9,74,18.0,1,6,43.35,12.5,7.69,4.86,0
CA,126,415,yes,no,31,285.4,101,234.0,68,196.0,87,13.3,18,1,48.52,19.89,8.82,3.59,0
KY,233,510,no,no,20,180.9,57,227.2,154,151.4,5,10.7,5,8,30.75,19.31,6.81,2.89,0
OH,9,415,no,no,43,150.7,142,259.6,51,227.5,155,11.7,4,6,25.62,22.07,10.24,3.16,1
IN,88,510,no,yes,43,113.8,8,164.3,64,269.1,62,11.2,12,4,19.35,13.97,12.11,3.02,0
TX,37,408,no,no,48,203.5,12,220.2,43,180.3,28,16.3,9,2,34.6,18.72,8.11,4.4,1
OH,49,415,no,no,6,225.1,150,206.1,157,76.4,47,10.4,0,8,38.27,17.52,3.44,2.81,0
FL,41,415,no,no,25,107.2,160,206.2,150,191.0,148,8.9,17,6,18.22,17.53,8.59,2.4,0
KY,17,408,no,no,14,241.8,136,199.0,78,154.1,21,11.5,13,2,41.11,16.92,6.93,3.11,0
TX,88,510,no,yes,48,174.5,130,242.1,15,188.4,26,15.6,11,4,29.67,20.58,8.48,4.21,1
KY,21,408,no,no,41,112.2,72,236.6,17,187.7,84,7.4,5,2,19.07,20.11,8.45,2.0,0
FL,51,408,no,no,22,134.2,115,199.9,16,153.5,78,8.2,13,2,22.81,16.99,6.91,2.21,0
KY,59,510,no,no,51,129.1,152,177.0,51,126.2,137,8.0,16,6,21.95,15.05,5.68,2.16,0
IN,167,408,no,yes,37,130.0,124,171.3,55,200.7,21,6.8,6,8,22.1,14.56,9.03,1.84,1
TX,183,415,no,yes,40,210.8,110,201.8,92,158.5,171,7.4,2,4,35.84,17.15,7.13,2.0,1
TX,41,415,no,no,14,226.6,70,211.1,8,294.2,83,12.5,16,3,38.52,17.94,13.24,3.38,0
FL,39,415,yes,no,47,271.8,163,195.4,144,213.3,82,10.6,9,3,46.21,16.61,9.6,2.86,1
IN,141,408,no,no,39,142.3,88,135.4,26,160.4,155,6.5,2,2,24.19,11.51,7.22,1.76,0
OH,192,415,no,yes,15,198.5,19,184.8,36,174.4,49,11.9,15,7,33.75,15.71,7.85,3.21,0
KY,11,415,no,no,31,145.1,80,173.6,21,191.8,128,10.9,5,0,24.67,14.76,8.63,2.94,0
CA,238,415,no,yes,36,181.1,89,200.8,71,205.3,161,12.6,3,2,30.79,17.07,9.24,3.4,0
KY,147,415,no,yes,17,100.1,18,326.8,165,233.3,162,8.4,19,1,17.02,27.78,10.5,2.27,0
KY,139,415,no,no,19,119.3,164,221.5,98,261.8,60,6.7,8,6,20.28,18.83,11.78,1.81,1
OH,77,415,yes,no,45,223.4,111,263.1,71,196.2,29,11.8,6,5,37.98,22.36,8.83,3.19,0
KY,127,408,no,yes,1,99.9,130,165.8,122,224.6,75,12.2,15,0,16.98,14.09,10.11,3.29,0
IN,46,415,no,yes,22,213.2,106,201.1,90,223.0,167,7.0,5,2,36.24,17.09,10.04,1.89,0
IN,45,415,no,yes,29,143.5,120,261.4,35,205.3,36,10.6,11,3,24.4,22.22,9.24,2.86,1
TX,1,510,no,no,2,76.0,91,121.0,97,188.8,128,8.3,2,6,12.92,10.28,8.5,2.24,0
FL,168,408,no,no,45,42.9,146,188.3,152,207.6,142,12.6,11,2,7.29,16.01,9.34,3.4,0
CA,108,408,no,no,38,259.0,79,231.0,41,164.7,12,11.8,19,3,44.03,19.64,7.41,3.19,0
KY,19,408,no,no,46,77.1,30,196.4,110,138.7,156,13.3,13,6,13.11,16.69,6.24,3.59,1
KY,76,408,yes,no,48,176.5,52,171.6,12,278.0,44,7.7,13,3,30.01,14.59,12.51,2.08,1
OH,72,415,no,yes,0,199.1,112,174.4,78,211.6,3,8.1,8,8,33.85,14.82,9.52,2.19,1
FL,200,415,no,no,40,109.1,33,215.8,117,214.8,14,9.0,3,5,18.55,18.34,9.67,2.43,1
IN,189,510,no,no,21,150.1,30,121.5,51,188.3,103,8.6,19,1,25.52,10.33,8.47,2.32,0
CA,109,510,no,yes,28,205.9,138,206.2,160,226.9,90,11.0,14,0,35.0,17.53,10.21,2.97,0
TX,12,408,no,yes,13,195.8,5,236.3,94,190.3,142,7.1,6,7,33.29,20.09,8.56,1.92,0
IN,189,510,no,yes,47,155.1,26,181.9,152,118.1,38,14.1,19,2,26.37,15.46,5.31,3.81,0
FL,240,510,no,yes,27,192.8,6,122.0,111,171.1,78,14.7,18,6,32.78,10.37,7.7,3.97,1
TX,161,408,no,no,20,174.5,48,174.4,57,232.3,59,13.0,5,3,29.67,14.82,10.45,3.51,0
OH,45,408,no,no,44,127.6,95,193.8,167,167.9,93,11.4,18,2,21.69,16.47,7.56,3.08,0
OH,90,510,no,no,31,244.8,59,146.2,86,101.0,171,9.7,6,8,41.62,12.43,4.54,2.62,0
KY,103,415,no,no,5,191.2,32,201.5,165,184.2,42,10.5,0,5,32.5,17.13,8.29,2.84,0
FL,220,510,no,no,0,80.5,46,208.6,2,106.5,131,8.0,6,5,13.68,17.73,4.79,2.16,0
CA,197,510,no,no,20,208.2,118,260.1,115,183.3,76,10.4,2,5,35.39,22.11,8.25,2.81,0
TX,8,415,yes,yes,3,146.8,26,191.8,15,264.0,38,10.9,5,2,24.96,16.3,11.88,2.94,0
